id,routine,thread,avgPercent,avgTime,minTime,maxTime,stddev,avgTimeTotal,minTimeTotal,maxTimeTotal,numCalls,cumulative,imbalance
738,GPRT,6,0.10300505050505089,0.4671060606060603,0.414,0.501,0.01591222326552811,0.4713737373737377,0.418,0.506,4214760,413.339,17.365269461077848
748,GP_TNDLAGADIAB_UV,6,0.11030303030303025,0.4983383838383841,0.41200000000000003,0.589,0.03268579440464041,0.502616161616162,0.41600000000000004,0.594,3969240,411.914,30.050933786078087
750,CUBIDIAG,6,0.10595959595959607,0.47973232323232357,0.43799999999999994,0.537,0.01652613015439689,0.49222727272727274,0.45,0.5489999999999999,15876960,412.32599999999996,18.43575418994415
760,GWDRAG,6,0.11116161616161634,0.5037070707070708,0.40700000000000003,0.789,0.0669275448053789,1.9828282828282835,1.55,3.6430000000000002,3969240,415.657,48.41571609632446
761,>MPL-TRMTOS_COMMS         ( 508),1,0.11045454545454544,0.5012424242424242,0.413,0.636,0.07151698251379729,0.5045151515151516,0.41700000000000004,0.639,50688,414.01,35.06289308176101
768,RANDOM_NUMBERS_MIX:INITIALIZE_RANDOM_NUMBERS,6,0.09608585858585905,0.43905303030303006,0.306,0.47700000000000004,0.03796320291550942,0.44079040404040387,0.307,0.479,1840544,420.13,35.84905660377359
777,LOCAL_ARRAYS_FIN,6,0.099772727272728,0.44770454545454547,0.42200000000000004,0.474,0.009447849104651164,0.4515757575757572,0.426,0.478,3969240,413.339,10.970464135021084
782,POSTPHY,6,0.0991161616161623,0.4467550505050508,0.413,0.488,0.013891372415725507,8.133515151515152,7.223,9.947000000000001,3969240,413.339,15.368852459016397
783,radiation_ifs_rrtm:planck_function_atmos,6,0.10191919191919227,0.4613080808080809,0.397,0.545,0.02818826464415912,0.4618863636363634,0.39799999999999996,0.546,121770,414.275,27.155963302752294
794,>MPL-WAM MPFLDTOIFS       ( 686),1,0.12560606060606058,0.5693787878787878,0.08800000000000001,1.244,0.22225922254129746,0.5694696969696968,0.08800000000000001,1.244,6336,441.705,92.92604501607717
806,>OMP-SPCSI LDONEM=F SITNU (1657),6,0.0753787878787878,0.3513964646464654,0.002,0.451,0.15663605122841817,0.4212878787878794,0.365,0.451,38016,455.455,99.55654101995566
